type_carburant,aspiration,nombre_portes,type_carrosserie,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vide,type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,alesage,course,taux_compression,puissance,trmin_max,consommation_ville,consommation_autoroute,prix,marque,modele
essence,standard,deux,décapotable,traction arrière,avant,225.0,429.0,163.0,124.0,1,Double arbre à cames en tête,quatre,2130,mpfi,88,3.0,9.0,111,5000,0.0,0.0,11471.0,alfa-romeo,giulia
essence,standard,deux,décapotable,traction arrière,avant,225.0,429.0,163.0,124.0,1,Double arbre à cames en tête,quatre,2130,mpfi,88,3.0,9.0,111,5000,0.0,0.0,14025.0,alfa-romeo,stelvio
essence,standard,deux,à hayon,traction arrière,avant,240.0,435.0,166.0,133.0,1,Arbre à cames en tête avec soupapes en V,six,2491,mpfi,68,3.0,9.0,154,5000,0.0,0.0,14025.0,alfa-romeo,Quadrifoglio
essence,standard,quatre,berline,traction avant,avant,253.0,449.0,168.0,138.0,1,Arbre à cames en tête,quatre,1786,mpfi,81,3.0,10.0,102,5500,0.0,0.0,11858.0,audi,100 ls
essence,standard,quatre,berline,quatre roues motrices,avant,252.0,449.0,169.0,138.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,115,5500,0.0,0.0,14832.0,audi,100ls
essence,standard,deux,berline,traction avant,avant,253.0,450.0,168.0,135.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,110,5500,0.0,0.0,12962.0,audi,fox
essence,standard,quatre,berline,traction avant,avant,269.0,489.0,181.0,141.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,110,5500,0.0,0.0,15054.0,audi,100ls
essence,standard,quatre,break,traction avant,avant,269.0,489.0,181.0,141.0,1,Arbre à cames en tête,cinq,2229,mpfi,81,3.0,8.0,110,5500,0.0,0.0,16082.0,audi,5000
essence,turbocharged,quatre,berline,traction avant,avant,269.0,489.0,181.0,142.0,1,Arbre à cames en tête,cinq,2147,mpfi,80,3.0,8.0,140,5500,0.0,0.0,20294.0,audi,4000
essence,turbocharged,deux,à hayon,quatre roues motrices,avant,253.0,453.0,172.0,132.0,1,Arbre à cames en tête,cinq,2147,mpfi,80,3.0,7.0,160,5500,0.0,0.0,15180.0,audi,5000s (diesel)
essence,standard,deux,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,quatre,1770,mpfi,89,3.0,9.0,101,5800,0.0,0.0,13966.0,bmw,320i
essence,standard,quatre,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,quatre,1770,mpfi,89,3.0,9.0,101,5800,0.0,0.0,14386.0,bmw,320i
essence,standard,deux,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,six,2687,mpfi,84,3.0,9.0,121,4250,0.0,0.0,17824.0,bmw,x1
essence,standard,quatre,berline,traction arrière,avant,257.0,449.0,165.0,138.0,1,Arbre à cames en tête,six,2687,mpfi,84,3.0,9.0,121,4250,0.0,0.0,17939.0,bmw,x3
essence,standard,quatre,berline,traction arrière,avant,263.0,480.0,170.0,141.0,1,Arbre à cames en tête,six,2687,mpfi,84,3.0,9.0,121,4250,0.0,0.0,20880.0,bmw,z4
essence,standard,quatre,berline,traction arrière,avant,263.0,480.0,170.0,141.0,1,Arbre à cames en tête,six,3425,mpfi,92,3.0,8.0,182,5400,0.0,0.0,26146.0,bmw,x4
essence,standard,deux,berline,traction arrière,avant,263.0,492.0,172.0,136.0,2,Arbre à cames en tête,six,3425,mpfi,92,3.0,8.0,182,5400,0.0,0.0,35118.0,bmw,x5
essence,standard,quatre,berline,traction arrière,avant,279.0,500.0,180.0,143.0,2,Arbre à cames en tête,six,3425,mpfi,92,3.0,8.0,182,5400,0.0,0.0,31348.0,bmw,x3
essence,standard,deux,à hayon,traction avant,avant,225.0,358.0,153.0,135.0,1,En ligne,trois,1000,2bbl,74,3.0,10.0,48,5100,0.0,0.0,4378.0,chevrolet,impala
essence,standard,deux,à hayon,traction avant,avant,240.0,396.0,162.0,132.0,1,Arbre à cames en tête,quatre,1475,2bbl,77,3.0,10.0,70,5400,0.0,0.0,5351.0,chevrolet,monte carlo
essence,standard,quatre,berline,traction avant,avant,240.0,403.0,162.0,132.0,1,Arbre à cames en tête,quatre,1475,2bbl,77,3.0,10.0,70,5400,0.0,0.0,5589.0,chevrolet,vega 2300
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,4736.0,dodge,rampage
essence,standard,deux,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5420.0,dodge,challenger se
essence,turbocharged,deux,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1606,mpfi,77,3.0,8.0,102,5500,0.0,0.0,6763.0,dodge,d200
essence,standard,quatre,à hayon,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5295.0,dodge,monaco (sw)
essence,standard,quatre,berline,traction avant,avant,238.0,400.0,162.0,129.0,1,Arbre à cames en tête,quatre,1475,2bbl,75,3.0,9.0,68,5500,0.0,0.0,5688.0,dodge,colt hardtop
